,timestamp,HRR_kWLastMinAve,HRR_kVAR,HRR_kW,primaryLovatoReadings.EqvPowerFactor,primaryLovatoReadings.EqvActivePower,primaryLovatoReadings.EqvReactivePower,primaryLovatoReadings.L1PhaseVoltage,primaryLovatoReadings.L2PhaseVoltage,primaryLovatoReadings.L3PhaseVoltage,HRR_WTCorrectedWindSpeed,primaryLovatoReadings.L1Current,primaryLovatoReadings.L2Current,primaryLovatoReadings.L3Current,HRR_GeneratorWindingTemp,HRR_NacelleAirTemp,HRR_OutsideAirTemp,HRR_GearboxOilTemp
1,59:44.9,-0.530590231,0.630149622,-0.430776232,0.317797266,-0.415177124,0.631520857,-0.170968093,-0.078625627,-0.262076843,-0.526375491,-0.227884534,-0.215605366,-0.220746996,-0.421010649,-0.779705864,-0.516871161,-0.195364926
2,00:29.2,-0.84004166,0.66744055,-0.475576948,0.320481386,-0.472484751,0.673580872,-0.463999522,-0.373119126,-0.445786254,-0.237336508,-0.786331123,-0.787477459,-0.795585423,-0.449202624,-0.830684212,-0.516871161,-0.216479892
3,00:48.5,-0.878723089,0.729592097,-0.626270262,0.311278689,-0.621647155,0.724300303,-0.947677905,-0.899889189,-0.922437697,-0.959933964,-1.309132184,-1.305736543,-1.337317971,-0.467997275,-0.779705864,-0.516871161,-0.216479892
4,01:05.5,-0.801360232,0.891186119,-0.699580524,0.334285432,-0.696025138,0.887592128,-0.319249057,-0.298458802,-0.366344347,-0.417985872,-0.31105743,-0.307938881,-0.314045379,-0.472695938,-0.728727516,-0.566766303,-0.174249961
5,01:22.3,-0.676720073,1.375968185,-0.789181954,0.330834421,-1.191065488,1.376230544,-0.813518938,-0.800342091,-0.813205075,-1.068323582,-1.104170405,-1.097241509,-0.810633549,-0.482093263,-0.677749168,-0.616661445,-0.237594857
6,01:39.1,-0.74118912,0.692301169,-0.504086494,0.321248278,-0.500122471,0.69461088,-0.375737044,-0.136694767,-0.083332552,-0.12894689,-0.343732496,-0.343680887,-0.590930904,-0.486791926,-0.728727516,-0.516871161,-0.216479892
7,01:56.0,-0.504802612,-0.028656775,0.180142611,0.284054042,0.181878929,-0.030305859,0.136185332,0.17024212,-0.013820883,-0.201206636,0.140452578,0.156707194,-0.590930904,-0.496189251,-0.728727516,-0.516871161,-0.237594857
8,02:12.8,-0.345778961,-0.33941451,0.440801318,0.271783779,0.443217964,-0.330911265,0.340954282,0.340301746,0.259260673,0.449131074,0.208773171,0.225212705,0.221667919,-0.491490588,-0.728727516,-0.616661445,-0.237594857
9,02:29.9,0.062525008,-0.078378013,0.151633065,0.286738163,0.220896888,-0.077314112,0.362137277,0.398370887,0.383388653,0.26848171,0.09886613,0.120965188,0.110311784,-0.482093263,-0.677749168,-0.466976018,-0.237594857
10,02:47.1,0.18286723,0.095646318,0.049813258,0.292106403,0.074579543,0.098348306,0.136185332,0.319562768,0.209609481,0.160092092,-0.088272887,-0.081572844,-0.085313859,-0.467997275,-0.575792472,-0.516871161,-0.237594857
